time,open,high,low,close,px_volume,px_svp_poc,px_svp_formed,px_svp_swept
1780264800,4519.09,4526.47,4518.11,4520.73,2665,,0,0
1780265100,4520.73,4527.26,4519.74,4525.86,1697,,0,0
1780265400,4525.86,4535.35,4523.85,4534.72,1910,,0,0
1780265700,4534.73,4536.64,4531.42,4536.49,1836,,0,0
1780266000,4536.47,4536.57,4531.4,4533.21,1806,,0,0
1780266300,4533.21,4534.26,4531.78,4533.22,1203,,0,0
1780266600,4533.25,4536.65,4532.78,4535.72,1887,,0,0
1780266900,4535.72,4536.4,4531.97,4531.98,1388,,0,0
1780267200,4531.98,4535.67,4531.01,4535.67,1384,,0,0
1780267500,4535.67,4540.46,4535.63,4538.35,1635,,0,0
1780267800,4538.34,4539.05,4534.92,4535.02,1238,,0,0
1780268100,4534.97,4537.93,4534.97,4535.36,1109,,0,0
1780268400,4535.36,4540.44,4535.13,4539.71,1382,,0,0
1780268700,4539.7,4541.75,4538.82,4541.54,1054,,0,0
1780269000,4541.55,4543.24,4540.18,4542.62,1229,,0,0
1780269300,4542.62,4543.66,4541.29,4542.22,1199,,0,0
1780269600,4542.23,4543.67,4540.19,4542.08,1206,,0,0
1780269900,4542.08,4545.05,4541.88,4544.95,1235,,0,0
1780270200,4544.98,4545.78,4539.25,4539.42,1633,,0,0
1780270500,4539.44,4541.81,4538.63,4540.82,1519,,0,0
1780270800,4540.81,4542.66,4540.54,4541.93,1135,,0,0
1780271100,4541.98,4542.78,4538.65,4541.19,1909,,0,0
1780271400,4541.18,4544.82,4540.53,4544.33,1751,,0,0
1780271700,4544.32,4544.73,4539.59,4539.59,1646,,0,0
1780272000,4539.62,4546.07,4537.49,4545.04,2452,,0,0
1780272300,4544.96,4545.06,4540.75,4540.91,2120,,0,0
1780272600,4540.87,4543.66,4539.5,4540.83,2096,,0,0
1780272900,4540.8,4543.83,4537.88,4538.43,2153,,0,0
1780273200,4538.42,4541.64,4538.11,4540.84,1683,,0,0
1780273500,4540.84,4544.5,4539.77,4543.26,1830,,0,0
1780273800,4543.26,4545.12,4536.02,4538.13,1925,,0,0
1780274100,4538.13,4538.89,4535.31,4536.91,1918,,0,0
1780274400,4536.9,4537.4,4535.41,4536.01,1759,,0,0
1780274700,4536.02,4541.98,4536.02,4541.45,1887,,0,0
1780275000,4541.45,4542.82,4538.17,4538.83,1801,,0,0
1780275300,4538.86,4541.93,4537.27,4540.72,2077,,0,0
1780275600,4540.77,4541.34,4531.84,4534.35,3109,,0,0
1780275900,4534.33,4535.48,4527.42,4529.26,2780,,0,0
1780276200,4529.27,4534.39,4526.31,4534.01,2652,,0,0
1780276500,4534.03,4534.45,4530.07,4530.31,2385,,0,0
1780276800,4530.37,4536.72,4529.96,4532.25,2440,,0,0
1780277100,4532.24,4533.17,4527.95,4528.86,2356,,0,0
1780277400,4528.86,4532.87,4527.11,4532.81,2554,,0,0
1780277700,4532.87,4533.41,4528.04,4529.8,2290,,0,0
1780278000,4529.81,4533.92,4528.53,4533.22,2244,,0,0
1780278300,4533.2,4533.74,4527.57,4528.56,2209,,0,0
1780278600,4528.58,4531.24,4527.84,4529.98,2160,,0,0
1780278900,4529.97,4530.1,4523.82,4525.55,2427,,0,0
1780279200,4525.55,4527.76,4524.41,4525.17,2124,,0,0
1780279500,4525.17,4531.96,4525,4528.61,2208,,0,0
1780279800,4528.61,4534.03,4528.48,4532.14,2138,,0,0
1780280100,4532.11,4534.63,4531.77,4532.01,1613,,0,0
